net,length_um
net1,82.34µm
uo_out[2],46.77µm
clk,40.09µm
uo_out[4],28.48µm
_08_,27.52µm
clknet_1_0__leaf_clk,26.04µm
uo_out[3],23.9µm
clknet_1_1__leaf_clk,21.44µm
uo_out[0],21.43µm
uo_out[1],21.27µm
clknet_0_clk,21.08µm
_05_,15.16µm
_01_,13.52µm
uo_out[5],13.2µm
_06_,10.64µm
_02_,8.72µm
_09_,7.9µm
_04_,5.8µm
_03_,5.46µm
_00_,4.92µm
rst_n,3.92µm
net12,3.73µm
net15,3.73µm
_10_,3.3µm
net3,2.9µm
net4,2.9µm
net5,2.9µm
net6,2.9µm
net7,2.9µm
net8,2.9µm
net9,2.9µm
net10,2.9µm
net11,2.9µm
net13,2.9µm
net14,2.9µm
net16,2.9µm
net17,2.9µm
net18,2.9µm
net19,2.9µm
net2,2.9µm
_07_,1.72µm
_11_,1.38µm
