Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_38_333,VGND,li1,156.4000,106.0800,0.000005
FILLER_38_321,VGND,li1,153.1800,106.0800,0.000005
FILLER_38_309,VGND,li1,147.6600,106.0800,0.000005
FILLER_38_305,VGND,li1,143.7500,106.0800,0.000005
FILLER_38_293,VGND,li1,139.3800,106.0800,0.000005
FILLER_38_281,VGND,li1,134.7800,106.0800,0.000007
FILLER_38_277,VGND,li1,130.8700,106.0800,0.000010
FILLER_38_265,VGND,li1,127.4200,106.0800,0.000010
FILLER_38_253,VGND,li1,121.9000,106.0800,0.000013
FILLER_38_248,VGND,li1,117.7600,106.0800,0.000014
FILLER_38_236,VGND,li1,114.0800,106.0800,0.000014
FILLER_38_225,VGND,li1,107.1800,106.0800,0.000014
FILLER_38_223,VGND,li1,105.5700,106.0800,0.000014
FILLER_38_211,VGND,li1,100.2800,106.0800,0.000013
FILLER_38_192,VGND,li1,92.0000,106.0800,0.000020
FILLER_38_166,VGND,li1,79.5800,106.0800,0.000015
FILLER_38_160,VGND,li1,77.0500,106.0800,0.000013
FILLER_38_154,VGND,li1,74.2900,106.0800,0.000012
FILLER_38_148,VGND,li1,71.5300,106.0800,0.000010
FILLER_38_144,VGND,li1,69.2300,106.0800,0.000009
FILLER_38_136,VGND,li1,66.2400,106.0800,0.000007
FILLER_38_130,VGND,li1,63.2500,106.0800,0.000006
FILLER_38_124,VGND,li1,60.4900,106.0800,0.000004
FILLER_38_118,VGND,li1,57.7300,106.0800,0.000004
FILLER_38_113,VGND,li1,55.2000,106.0800,0.000004
FILLER_38_106,VGND,li1,52.2100,106.0800,0.000004
FILLER_38_100,VGND,li1,49.4500,106.0800,0.000004
FILLER_38_94,VGND,li1,46.6900,106.0800,0.000003
FILLER_38_88,VGND,li1,43.9300,106.0800,0.000003
FILLER_38_82,VGND,li1,40.9400,106.0800,0.000003
FILLER_38_76,VGND,li1,38.4100,106.0800,0.000002
FILLER_38_70,VGND,li1,35.6500,106.0800,0.000002
FILLER_38_64,VGND,li1,32.8900,106.0800,0.000002
FILLER_38_57,VGND,li1,29.9000,106.0800,0.000002
FILLER_38_53,VGND,li1,27.8300,106.0800,0.000001
FILLER_38_41,VGND,li1,24.3800,106.0800,0.000001
FILLER_38_29,VGND,li1,18.8600,106.0800,0.000001
FILLER_38_27,VGND,li1,15.4100,106.0800,0.000001
FILLER_38_15,VGND,li1,12.4200,106.0800,0.000001
FILLER_38_3,VGND,li1,6.9000,106.0800,0.000001
FILLER_37_329,VGND,li1,155.4800,106.0800,0.000005
FILLER_37_317,VGND,li1,151.3400,106.0800,0.000005
FILLER_37_305,VGND,li1,145.8200,106.0800,0.000005
FILLER_37_293,VGND,li1,140.3000,106.0800,0.000005
FILLER_37_281,VGND,li1,134.7800,106.0800,0.000007
FILLER_37_279,VGND,li1,131.3300,106.0800,0.000009
FILLER_37_271,VGND,li1,129.2600,106.0800,0.000010
FILLER_37_216,VGND,li1,103.9600,106.0800,0.000014
FILLER_37_211,VGND,li1,100.2800,106.0800,0.000013
FILLER_37_187,VGND,li1,89.0100,106.0800,0.000019
FILLER_37_169,VGND,li1,83.2600,106.0800,0.000017
FILLER_37_167,VGND,li1,79.8100,106.0800,0.000015
FILLER_37_159,VGND,li1,77.7400,106.0800,0.000013
FILLER_37_149,VGND,li1,71.9900,106.0800,0.000011
FILLER_37_137,VGND,li1,68.5400,106.0800,0.000009
FILLER_37_125,VGND,li1,63.0200,106.0800,0.000006
FILLER_37_113,VGND,li1,57.5000,106.0800,0.000004
FILLER_37_111,VGND,li1,54.0500,106.0800,0.000004
