Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_38_333,VPWR,li1,156.4000,108.8000,1.799999
FILLER_38_321,VPWR,li1,153.1800,108.8000,1.799999
FILLER_38_309,VPWR,li1,147.6600,108.8000,1.799999
FILLER_38_305,VPWR,li1,143.7500,108.8000,1.799999
FILLER_38_293,VPWR,li1,139.3800,108.8000,1.799999
FILLER_38_281,VPWR,li1,134.7800,108.8000,1.799999
FILLER_38_277,VPWR,li1,130.8700,108.8000,1.799999
FILLER_38_265,VPWR,li1,127.4200,108.8000,1.799999
FILLER_38_253,VPWR,li1,121.9000,108.8000,1.799999
FILLER_38_248,VPWR,li1,117.7600,108.8000,1.799999
FILLER_38_236,VPWR,li1,114.0800,108.8000,1.799999
FILLER_38_225,VPWR,li1,107.1800,108.8000,1.799999
FILLER_38_223,VPWR,li1,105.5700,108.8000,1.799998
FILLER_38_211,VPWR,li1,100.2800,108.8000,1.799998
FILLER_38_192,VPWR,li1,92.0000,108.8000,1.799997
FILLER_38_166,VPWR,li1,79.5800,108.8000,1.799997
FILLER_38_160,VPWR,li1,77.0500,108.8000,1.799997
FILLER_38_154,VPWR,li1,74.2900,108.8000,1.799997
FILLER_38_148,VPWR,li1,71.5300,108.8000,1.799998
FILLER_38_144,VPWR,li1,69.2300,108.8000,1.799998
FILLER_38_136,VPWR,li1,66.2400,108.8000,1.799998
FILLER_38_130,VPWR,li1,63.2500,108.8000,1.799999
FILLER_38_124,VPWR,li1,60.4900,108.8000,1.799999
FILLER_38_118,VPWR,li1,57.7300,108.8000,1.799999
FILLER_38_113,VPWR,li1,55.2000,108.8000,1.799999
FILLER_38_106,VPWR,li1,52.2100,108.8000,1.799999
FILLER_38_100,VPWR,li1,49.4500,108.8000,1.799999
FILLER_38_94,VPWR,li1,46.6900,108.8000,1.799999
FILLER_38_88,VPWR,li1,43.9300,108.8000,1.799999
FILLER_38_82,VPWR,li1,40.9400,108.8000,1.799999
FILLER_38_76,VPWR,li1,38.4100,108.8000,1.799999
FILLER_38_70,VPWR,li1,35.6500,108.8000,1.800000
FILLER_38_64,VPWR,li1,32.8900,108.8000,1.800000
FILLER_38_57,VPWR,li1,29.9000,108.8000,1.800000
FILLER_38_53,VPWR,li1,27.8300,108.8000,1.800000
FILLER_38_41,VPWR,li1,24.3800,108.8000,1.800000
FILLER_38_29,VPWR,li1,18.8600,108.8000,1.800000
FILLER_38_27,VPWR,li1,15.4100,108.8000,1.800000
FILLER_38_15,VPWR,li1,12.4200,108.8000,1.800000
FILLER_38_3,VPWR,li1,6.9000,108.8000,1.800000
FILLER_37_329,VPWR,li1,155.4800,103.3600,1.799989
FILLER_37_317,VPWR,li1,151.3400,103.3600,1.799989
